AIRPORT_ID,YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,field1,FL_DATE,DurationofEvent,DurationinMinutes
1229,2018,1,22,1/22/2018,EV,20366,EV,N14905,4219,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1920,2006,46,46,1,3,1900-1959,19,2025,0,,0,125,114,90,1,585,3,0,0,0,0,35,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1234,2018,1,22,1/22/2018,EV,20366,EV,N16541,4248,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1740,1821,41,41,1,2,1700-1759,35,1856,0,,0,48,58,17,1,67,1,0,0,51,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1263,2018,1,22,1/22/2018,EV,20366,EV,N16911,4367,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1340,1349,9,9,0,0,1300-1359,38,1427,0,,0,75,93,51,1,272,2,1,0,18,0,8,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1280,2018,1,22,1/22/2018,F9,20436,F9,N718FR,1294,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,729,825,56,56,1,3,0700-0759,44,909,0,,0,171,195,141,1,1005,5,0,56,24,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1281,2018,1,22,1/22/2018,F9,20436,F9,N706FR,1310,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,600,1447,527,527,1,12,0600-0659,54,1541,0,,0,195,219,159,1,1197,5,0,0,24,0,527,630,27,27,0,1/22/2018,0 days 00:32:00.000000000,32
1282,2018,1,22,1/22/2018,F9,20436,F9,N720FR,1330,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1625,2003,218,218,1,12,1600-1659,18,2021,0,,0,171,160,136,1,1012,5,0,0,0,0,207,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1299,2018,1,22,1/22/2018,MQ,20398,MQ,N670AE,3510,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1502,1540,38,38,1,2,1500-1559,9,1549,0,,0,51,41,29,1,139,1,0,0,0,0,28,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1305,2018,1,22,1/22/2018,MQ,20398,MQ,N223NN,3512,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1150,1216,26,26,1,1,1100-1159,36,1252,0,,0,120,139,100,1,585,3,3,0,19,0,23,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1343,2018,1,22,1/22/2018,MQ,20398,MQ,N532EA,3542,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1457,1533,36,36,1,2,1400-1459,9,1542,0,,0,98,92,79,1,607,3,30,0,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
1365,2018,1,22,1/22/2018,MQ,20398,MQ,N530EA,3558,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,835,900,25,25,1,1,0800-0859,33,933,0,,0,58,72,35,1,173,1,0,25,14,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
